TEXAS COUNTYS,DEMOCRATIC VOTES,REPUBLICAN VOTES,TOTAL VOTES BY COUNTY
ANDERSON,3955,15110,19065
ANDREWS,850,4943,5793
ANGELINA,9143,25076,34219
ARANSAS,2916,9239,12155
ARCHER,446,4300,4746
ARMSTRONG,75,1035,1110
ATASCOSA,5876,12039,17915
AUSTIN,2951,11447,14398
BAILEY,409,1434,1843
BANDERA,2505,10057,12562
BASTROP,15474,20516,35990
BAYLOR,183,1494,1677
BEE,3288,6006,9294
BELL,57014,67893,124907
BEXAR,448452,308618,757070
BLANCO,1911,5443,7354
BORDEN,16,397,413
BOSQUE,1561,7469,9030
BOWIE,10747,27116,37863
BRAZORIA,62228,90433,152661
BRAZOS,35349,47530,82879
BREWSTER,2258,2461,4719
BRISCOE,78,639,717
BROOKS,1470,998,2468
BROWN,2107,13698,15805
BURLESON,1788,6743,8531
BURNET,5639,18767,24406
CALDWELL,6672,8031,14703
CALHOUN,2148,5641,7789
CALLAHAN,734,6012,6746
CAMERON,64063,49032,113095
CAMP,1394,3626,5020
CARSON,297,2779,3076
CASS,2795,11033,13828
CASTRO,466,1602,2068
CHAMBERS,3997,17353,21350
CHEROKEE,4210,15101,19311
CHILDRESS,310,1943,2253
CLAY,614,5069,5683
COCHRAN,177,809,986
COKE,178,1586,1764
COLEMAN,451,3641,4092
COLLIN,230945,252318,483263
COLLINGSWORTH,155,1048,1203
COLORADO,2420,7472,9892
COMAL,24826,62740,87566
COMANCHE,853,5177,6030
CONCHO,197,1058,1255
COOKE,3210,15596,18806
CORYELL,7565,15438,23003
COTTLE,113,540,653
CRANE,241,1247,1488
CROCKETT,344,1220,1564
CROSBY,527,1396,1923
CULBERSON,438,415,853
DALLAM,197,1389,1586
DALLAS,598576,307076,905652
DAWSON,808,2951,3759
DEAF SMITH,1264,3294,4558
DELTA,403,2162,2565
DENTON,188695,222480,411175
DEWITT,1494,6567,8061
DICKENS,130,853,983
DIMMIT,2264,1384,3648
DONLEY,198,1438,1636
DUVAL,2575,2443,5018
EASTLAND,983,7237,8220
ECTOR,11367,32697,44064
EDWARDS,168,893,1061
EL PASO,178126,84331,262457
ELLIS,27565,56717,84282
ERATH,2916,13684,16600
FALLS,1899,4177,6076
FANNIN,2655,12171,14826
FAYETTE,2661,10171,12832
FISHER,352,1448,1800
FLOYD,438,1584,2022
FOARD,99,445,544
FORT BEND,195552,157718,353270
FRANKLIN,804,4161,4965
FREESTONE,1635,6991,8626
FRIO,2422,2823,5245
GAINES,576,5355,5931
GALVESTON,58842,93911,152753
GARZA,231,1413,1644
GILLESPIE,3176,12514,15690
GLASSCOCK,39,611,650
GOLIAD,877,3085,3962
GONZALES,1948,5627,7575
GRAY,829,6840,7669
GRAYSON,14506,44163,58669
GREGG,14796,32493,47289
GRIMES,2833,9432,12265
GUADALUPE,28805,47553,76358
HALE,2279,7177,9456
HALL,168,995,1163
HAMILTON,641,3616,4257
HANSFORD,166,1849,2015
HARDEMAN,241,1330,1571
HARDIN,3474,23858,27332
HARRIS,918193,700630,1618823
HARRISON,7908,21466,29374
HARTLEY,195,1868,2063
HASKELL,353,1840,2193
HAYS,59524,47680,107204
HEMPHILL,206,1486,1692
HENDERSON,7060,28911,35971
HIDALGO,128199,90527,218726
HILL,2860,11926,14786
HOCKLEY,1482,6536,8018
HOOD,5648,26496,32144
HOPKINS,3046,12719,15765
HOUSTON,2314,7060,9374
HOWARD,2069,8054,10123
HUDSPETH,371,779,1150
HUNT,8906,29163,38069
HUTCHINSON,965,7681,8646
IRION,120,759,879
JACK,331,3418,3749
JACKSON,1033,5231,6264
