PARTY,COUNTY NAME,TOTAL VOTES
DEMOCRATIC,ANDERSON,"3,955"
REPUBLICAN,ANDERSON,"15,110"
DEMOCRATIC,ANDREWS,850
REPUBLICAN,ANDREWS,"4,943"
DEMOCRATIC,ANGELINA,"9,143"
REPUBLICAN,ANGELINA,"25,076"
DEMOCRATIC,ARANSAS,"2,916"
REPUBLICAN,ARANSAS,"9,239"
DEMOCRATIC,ARCHER,446
REPUBLICAN,ARCHER,"4,300"
DEMOCRATIC,ARMSTRONG,75
REPUBLICAN,ARMSTRONG,"1,035"
DEMOCRATIC,ATASCOSA,"5,876"
REPUBLICAN,ATASCOSA,"12,039"
DEMOCRATIC,AUSTIN,"2,951"
REPUBLICAN,AUSTIN,"11,447"
DEMOCRATIC,BAILEY,409
REPUBLICAN,BAILEY,"1,434"
DEMOCRATIC,BANDERA,"2,505"
REPUBLICAN,BANDERA,"10,057"
DEMOCRATIC,BASTROP,"15,474"
REPUBLICAN,BASTROP,"20,516"
DEMOCRATIC,BAYLOR,183
REPUBLICAN,BAYLOR,"1,494"
DEMOCRATIC,BEE,"3,288"
REPUBLICAN,BEE,"6,006"
DEMOCRATIC,BELL,"57,014"
REPUBLICAN,BELL,"67,893"
DEMOCRATIC,BEXAR,"448,452"
REPUBLICAN,BEXAR,"308,618"
DEMOCRATIC,BLANCO,"1,911"
REPUBLICAN,BLANCO,"5,443"
DEMOCRATIC,BORDEN,16
REPUBLICAN,BORDEN,397
DEMOCRATIC,BOSQUE,"1,561"
REPUBLICAN,BOSQUE,"7,469"
DEMOCRATIC,BOWIE,"10,747"
REPUBLICAN,BOWIE,"27,116"
DEMOCRATIC,BRAZORIA,"62,228"
REPUBLICAN,BRAZORIA,"90,433"
DEMOCRATIC,BRAZOS,"35,349"
REPUBLICAN,BRAZOS,"47,530"
DEMOCRATIC,BREWSTER,"2,258"
REPUBLICAN,BREWSTER,"2,461"
DEMOCRATIC,BRISCOE,78
REPUBLICAN,BRISCOE,639
DEMOCRATIC,BROOKS,"1,470"
REPUBLICAN,BROOKS,998
DEMOCRATIC,BROWN,"2,107"
REPUBLICAN,BROWN,"13,698"
DEMOCRATIC,BURLESON,"1,788"
REPUBLICAN,BURLESON,"6,743"
DEMOCRATIC,BURNET,"5,639"
REPUBLICAN,BURNET,"18,767"
DEMOCRATIC,CALDWELL,"6,672"
REPUBLICAN,CALDWELL,"8,031"
DEMOCRATIC,CALHOUN,"2,148"
REPUBLICAN,CALHOUN,"5,641"
DEMOCRATIC,CALLAHAN,734
REPUBLICAN,CALLAHAN,"6,012"
DEMOCRATIC,CAMERON,"64,063"
REPUBLICAN,CAMERON,"49,032"
DEMOCRATIC,CAMP,"1,394"
REPUBLICAN,CAMP,"3,626"
DEMOCRATIC,CARSON,297
REPUBLICAN,CARSON,"2,779"
DEMOCRATIC,CASS,"2,795"
REPUBLICAN,CASS,"11,033"
DEMOCRATIC,CASTRO,466
REPUBLICAN,CASTRO,"1,602"
DEMOCRATIC,CHAMBERS,"3,997"
REPUBLICAN,CHAMBERS,"17,353"
DEMOCRATIC,CHEROKEE,"4,210"
REPUBLICAN,CHEROKEE,"15,101"
DEMOCRATIC,CHILDRESS,310
REPUBLICAN,CHILDRESS,"1,943"
DEMOCRATIC,CLAY,614
REPUBLICAN,CLAY,"5,069"
DEMOCRATIC,COCHRAN,177
REPUBLICAN,COCHRAN,809
DEMOCRATIC,COKE,178
REPUBLICAN,COKE,"1,586"
DEMOCRATIC,COLEMAN,451
REPUBLICAN,COLEMAN,"3,641"
DEMOCRATIC,COLLIN,"230,945"
REPUBLICAN,COLLIN,"252,318"
DEMOCRATIC,COLLINGSWORTH,155
REPUBLICAN,COLLINGSWORTH,"1,048"
DEMOCRATIC,COLORADO,"2,420"
REPUBLICAN,COLORADO,"7,472"
DEMOCRATIC,COMAL,"24,826"
REPUBLICAN,COMAL,"62,740"
DEMOCRATIC,COMANCHE,853
REPUBLICAN,COMANCHE,"5,177"
DEMOCRATIC,CONCHO,197
REPUBLICAN,CONCHO,"1,058"
DEMOCRATIC,COOKE,"3,210"
REPUBLICAN,COOKE,"15,596"
DEMOCRATIC,CORYELL,"7,565"
REPUBLICAN,CORYELL,"15,438"
DEMOCRATIC,COTTLE,113
