,County,Donald TrumpRepublican,Donald TrumpRepublican,Joe BidenDemocratic,Joe BidenDemocratic,Jo JorgensenLibertarian,Jo JorgensenLibertarian,Howie HawkinsGreen,Howie HawkinsGreen,Other votes,Other votes,Totalvotes
,County,%,#,%,#,%,#,%,#,%,#,Totalvotes
0,Anderson,78.59%,15110,20.57%,3955,0.70%,134,0.11%,22,0.04%,6,19227
1,Andrews,84.31%,4943,14.50%,850,1.02%,60,0.17%,10,0.00%,0,5863
2,Angelina,72.40%,25076,26.40%,9143,0.79%,274,0.22%,75,0.20%,67,34635
3,Aransas,75.17%,9239,23.73%,2916,0.84%,103,0.25%,31,0.01%,1,12290
4,Archer,89.66%,4300,9.30%,446,0.94%,45,0.08%,4,0.02%,1,4796
5,Armstrong,93.08%,1035,6.74%,75,0.18%,2,0.00%,0,0.00%,0,1112
6,Atascosa,66.37%,12039,32.40%,5876,0.79%,143,0.32%,58,0.12%,22,18138
7,Austin,78.48%,11447,20.23%,2951,0.84%,123,0.23%,33,0.22%,32,14586
8,Bailey,77.10%,1434,21.99%,409,0.75%,14,0.11%,2,0.05%,1,1860
9,Bandera,79.03%,10057,19.68%,2505,0.94%,120,0.24%,30,0.11%,14,12726
10,Bastrop,55.81%,20516,42.09%,15474,1.44%,531,0.35%,128,0.30%,113,36762
11,Baylor,87.78%,1494,10.75%,183,1.29%,22,0.06%,1,0.12%,2,1702
12,Bee,63.72%,6006,34.88%,3288,0.99%,93,0.29%,27,0.13%,12,9426
13,Bell,53.17%,67893,44.65%,57014,1.55%,1980,0.34%,440,0.28%,363,127690
14,Bexar,40.05%,308618,58.20%,448452,1.15%,8837,0.36%,2798,0.24%,1866,770571
15,Blanco,72.97%,5443,25.62%,1911,0.97%,72,0.20%,15,0.24%,18,7459
16,Borden,95.43%,397,3.85%,16,0.48%,2,0.24%,1,0.00%,0,416
17,Bosque,81.84%,7469,17.10%,1561,0.91%,83,0.14%,13,0.00%,0,9126
18,Bowie,70.87%,27116,28.09%,10747,0.78%,300,0.24%,91,0.02%,7,38261
19,Brazoria,58.35%,90433,40.15%,62228,1.20%,1860,0.27%,417,0.03%,46,154984
20,Brazos,55.71%,47530,41.43%,35349,2.12%,1812,0.30%,252,0.43%,370,85313
21,Brewster,51.04%,2461,46.83%,2258,1.85%,89,0.29%,14,0.00%,0,4822
22,Briscoe,88.14%,639,10.76%,78,0.97%,7,0.14%,1,0.00%,0,725
23,Brooks,40.18%,998,59.18%,1470,0.40%,10,0.24%,6,0.00%,0,2484
24,Brown,85.78%,13698,13.19%,2107,0.84%,134,0.15%,24,0.05%,6,15969
25,Burleson,78.33%,6743,20.77%,1788,0.73%,63,0.17%,15,0.00%,0,8609
26,Burnet,75.93%,18767,22.81%,5639,1.08%,268,0.14%,34,0.04%,9,24717
27,Caldwell,53.64%,8031,44.56%,6672,1.27%,190,0.31%,47,0.22%,33,14973
28,Calhoun,71.80%,5641,27.34%,2148,0.78%,61,0.08%,6,0.00%,0,7856
29,Callahan,87.92%,6012,10.73%,734,1.04%,71,0.22%,15,0.09%,6,6838
30,Cameron,42.89%,49032,56.04%,64063,0.64%,728,0.29%,336,0.15%,167,114326
31,Camp,71.66%,3626,27.55%,1394,0.61%,31,0.14%,7,0.04%,2,5060
32,Carson,89.01%,2779,9.51%,297,1.19%,37,0.10%,3,0.19%,6,3122
33,Cass,79.22%,11033,20.07%,2795,0.57%,79,0.12%,17,0.02%,3,13927
34,Castro,76.91%,1602,22.37%,466,0.43%,9,0.29%,6,0.00%,0,2083
35,Chambers,80.15%,17353,18.46%,3997,1.15%,250,0.23%,50,0.00%,2,21652
36,Cherokee,77.41%,15101,21.58%,4210,0.83%,161,0.18%,36,0.00%,0,19508
37,Childress,85.26%,1943,13.60%,310,0.79%,18,0.35%,8,0.00%,0,2279
38,Clay,88.25%,5069,10.69%,614,0.80%,46,0.21%,12,0.05%,3,5744
39,Cochran,80.90%,809,17.70%,177,1.10%,11,0.30%,3,0.00%,0,1000
40,Coke,89.15%,1586,10.01%,178,0.56%,10,0.28%,5,0.00%,0,1779
41,Coleman,88.18%,3641,10.92%,451,0.56%,23,0.22%,9,0.12%,5,4129
42,Collin,51.26%,252318,46.92%,230945,1.23%,6075,0.25%,1246,0.33%,1632,492216
43,Collingsworth,86.04%,1048,12.73%,155,0.99%,12,0.08%,1,0.16%,2,1218
44,Colorado,74.91%,7472,24.26%,2420,0.50%,50,0.19%,19,0.14%,14,9975
45,Comal,70.58%,62740,27.93%,24826,1.24%,1106,0.21%,191,0.03%,29,88892
46,Comanche,85.06%,5177,14.02%,853,0.81%,49,0.08%,5,0.03%,2,6086
47,Concho,83.44%,1058,15.54%,197,0.79%,10,0.24%,3,0.00%,0,1268
48,Cooke,81.98%,15596,16.87%,3210,0.82%,156,0.14%,26,0.20%,37,19025
49,Coryell,65.71%,15438,32.20%,7565,1.75%,410,0.33%,77,0.01%,3,23493
50,Cottle,81.57%,540,17.07%,113,0.91%,6,0.45%,3,0.00%,0,662
51,Crane,82.97%,1247,16.03%,241,0.67%,10,0.27%,4,0.07%,1,1503
52,Crockett,77.51%,1220,21.86%,344,0.57%,9,0.06%,1,0.00%,0,1574
53,Crosby,71.48%,1396,26.98%,527,1.13%,22,0.41%,8,0.00%,0,1953
54,Culberson,48.03%,415,50.69%,438,1.04%,9,0.23%,2,0.00%,0,864
55,Dallam,86.33%,1389,12.24%,197,1.12%,18,0.31%,5,0.00%,0,1609
56,Dallas,33.29%,307076,65.03%,598576,1.04%,9635,0.40%,3667,0.39%,3559,922513
57,Dawson,77.88%,2951,21.32%,808,0.66%,25,0.13%,5,0.00%,0,3789
58,Deaf Smith,71.45%,3294,27.42%,1264,0.76%,35,0.37%,17,0.00%,0,4610
59,Delta,83.41%,2162,15.55%,403,0.93%,24,0.12%,3,0.00%,0,2592
60,Denton,53.23%,222480,45.15%,188695,1.30%,5421,0.26%,1092,0.07%,276,417964
61,DeWitt,80.89%,6567,18.40%,1494,0.57%,46,0.14%,11,0.00%,0,8118
62,Dickens,86.34%,853,13.16%,130,0.30%,3,0.20%,2,0.00%,0,988
63,Dimmit,37.75%,1384,61.76%,2264,0.27%,10,0.22%,8,0.00%,0,3666
64,Donley,87.26%,1438,12.01%,198,0.67%,11,0.06%,1,0.00%,0,1648
65,Duval,48.35%,2443,50.96%,2575,0.44%,22,0.26%,13,0.00%,0,5053
66,Eastland,87.27%,7237,11.85%,983,0.72%,60,0.14%,12,0.01%,1,8293
67,Ector,73.33%,32697,25.49%,11367,0.96%,428,0.20%,89,0.02%,10,44591
68,Edwards,83.77%,893,15.76%,168,0.47%,5,0.00%,0,0.00%,0,1066
69,El Paso,31.56%,84331,66.66%,178126,1.03%,2746,0.54%,1445,0.21%,567,267215
70,Ellis,66.19%,56717,32.17%,27565,1.11%,954,0.26%,220,0.27%,232,85688
71,Erath,81.08%,13684,17.28%,2916,1.29%,218,0.21%,35,0.14%,24,16877
72,Falls,68.11%,4177,30.96%,1899,0.72%,44,0.21%,13,0.00%,0,6133
73,Fannin,81.10%,12171,17.69%,2655,1.03%,155,0.15%,23,0.02%,3,15007
74,Fayette,78.60%,10171,20.56%,2661,0.64%,83,0.20%,26,0.00%,0,12941
75,Fisher,79.30%,1448,19.28%,352,1.15%,21,0.27%,5,0.00%,0,1826
76,Floyd,77.69%,1584,21.48%,438,0.74%,15,0.10%,2,0.00%,0,2039
77,Foard,80.76%,445,17.97%,99,1.09%,6,0.18%,1,0.00%,0,551
78,Fort Bend,44.01%,157718,54.57%,195552,0.85%,3028,0.30%,1091,0.26%,944,358333
79,Franklin,83.07%,4161,16.05%,804,0.72%,36,0.16%,8,0.00%,0,5009
80,Freestone,80.25%,6991,18.77%,1635,0.77%,67,0.21%,18,0.00%,0,8711
81,Frio,53.48%,2823,45.88%,2422,0.44%,23,0.21%,11,0.00%,0,5279
82,Gaines,89.31%,5355,9.61%,576,0.90%,54,0.17%,10,0.02%,1,5996
83,Galveston,60.56%,93911,37.95%,58842,1.23%,1913,0.25%,393,0.00%,1,155060
84,Garza,85.48%,1413,13.97%,231,0.30%,5,0.24%,4,0.00%,0,1653
85,Gillespie,78.95%,12514,20.04%,3176,0.88%,140,0.10%,16,0.03%,4,15850
86,Glasscock,93.57%,611,5.97%,39,0.46%,3,0.00%,0,0.00%,0,653
87,Goliad,77.22%,3085,21.95%,877,0.60%,24,0.05%,2,0.18%,7,3995
88,Gonzales,73.57%,5627,25.47%,1948,0.75%,57,0.20%,15,0.01%,1,7648
89,Gray,87.90%,6840,10.65%,829,1.25%,97,0.21%,16,0.00%,0,7782
90,Grayson,74.26%,44163,24.39%,14506,1.07%,634,0.23%,136,0.07%,35,59474
91,Gregg,67.72%,32493,30.84%,14796,1.15%,551,0.24%,113,0.06%,29,47982
92,Grimes,75.98%,9432,22.82%,2833,0.95%,118,0.24%,30,0.01%,1,12414
93,Guadalupe,61.16%,47553,37.04%,28805,1.32%,1023,0.27%,211,0.21%,166,77758
94,Hale,74.87%,7177,23.77%,2279,1.01%,97,0.32%,31,0.02%,2,9586
95,Hall,85.12%,995,14.37%,168,0.34%,4,0.09%,1,0.09%,1,1169
96,Hamilton,83.11%,3616,14.73%,641,1.20%,52,0.92%,40,0.05%,2,4351
97,Hansford,90.33%,1849,8.11%,166,1.32%,27,0.15%,3,0.10%,2,2047
98,Hardeman,84.18%,1330,15.25%,241,0.57%,9,0.00%,0,0.00%,0,1580
99,Hardin,86.33%,23858,12.57%,3474,1.00%,276,0.10%,27,0.00%,0,27635
100,Harris,42.69%,700630,55.94%,918193,1.02%,16819,0.31%,5129,0.03%,486,1641257
101,Harrison,72.23%,21466,26.61%,7908,0.99%,294,0.14%,42,0.02%,7,29717
102,Hartley,89.89%,1868,9.38%,195,0.67%,14,0.05%,1,0.00%,0,2078
103,Haskell,83.11%,1840,15.94%,353,0.68%,15,0.27%,6,0.00%,0,2214
104,Hays,43.59%,47680,54.41%,59524,1.59%,1735,0.38%,418,0.03%,38,109395
105,Hemphill,86.40%,1486,11.98%,206,1.45%,25,0.17%,3,0.00%,0,1720
106,Henderson,79.61%,28911,19.44%,7060,0.73%,264,0.21%,75,0.02%,7,36317
107,Hidalgo,40.98%,90527,58.04%,128199,0.57%,1261,0.39%,865,0.01%,32,220884
108,Hill,79.87%,11926,19.15%,2860,0.80%,119,0.17%,26,0.00%,0,14931
109,Hockley,80.69%,6536,18.30%,1482,0.75%,61,0.20%,16,0.06%,5,8100
110,Hood,81.42%,26496,17.36%,5648,0.98%,319,0.22%,71,0.02%,7,32541
111,Hopkins,79.79%,12719,19.11%,3046,0.90%,143,0.19%,31,0.01%,2,15941
112,Houston,74.80%,7060,24.52%,2314,0.59%,56,0.07%,7,0.01%,1,9438
113,Howard,78.64%,8054,20.20%,2069,0.87%,89,0.27%,28,0.01%,1,10241
114,Hudspeth,66.87%,779,31.85%,371,0.86%,10,0.43%,5,0.00%,0,1165
115,Hunt,75.56%,29163,23.07%,8906,1.12%,434,0.18%,71,0.07%,23,38597
116,Hutchinson,87.55%,7681,11.00%,965,1.31%,115,0.11%,10,0.02%,2,8773
117,Irion,85.38%,759,13.50%,120,0.90%,8,0.22%,2,0.00%,0,889
118,Jack,90.38%,3418,8.75%,331,0.63%,24,0.24%,9,0.00%,0,3782
119,Jackson,82.34%,5231,16.26%,1033,0.83%,53,0.36%,23,0.20%,13,6353
120,Jasper,80.34%,12542,18.92%,2954,0.67%,105,0.04%,7,0.02%,3,15611
121,Jeff Davis,60.08%,784,38.39%,501,1.30%,17,0.23%,3,0.00%,0,1305
122,Jefferson,50.20%,47570,48.62%,46073,0.95%,897,0.21%,199,0.02%,20,94759
123,Jim Hogg,40.91%,833,58.79%,1197,0.20%,4,0.10%,2,0.00%,0,2036
124,Jim Wells,54.52%,7453,44.77%,6119,0.50%,69,0.20%,28,0.00%,0,13669
