TEXAS_COUNTYS,,DEMOCRATIC,REPUBLICAN
ANDERSON,Anderson,3955,15110
ANDREWS,Andrews,850,4943
ANGELINA,Angelina,9143,25076
ARANSAS,Aransas,2916,9239
ARCHER,Archer,446,4300
ARMSTRONG,Armstrong,75,1035
ATASCOSA,Atascosa,5876,12039
AUSTIN,Austin,2951,11447
BAILEY,Bailey,409,1434
BANDERA,Bandera,2505,10057
BASTROP,Bastrop,15474,20516
BAYLOR,Baylor,183,1494
BEE,Bee,3288,6006
BELL,Bell,57014,67893
BEXAR,Bexar,448452,308618
BLANCO,Blanco,1911,5443
BORDEN,Borden,16,397
BOSQUE,Bosque,1561,7469
BOWIE,Bowie,10747,27116
BRAZORIA,Brazoria,62228,90433
BRAZOS,Brazos,35349,47530
BREWSTER,Brewster,2258,2461
BRISCOE,Briscoe,78,639
BROOKS,Brooks,1470,998
BROWN,Brown,2107,13698
BURLESON,Burleson,1788,6743
BURNET,Burnet,5639,18767
CALDWELL,Caldwell,6672,8031
CALHOUN,Calhoun,2148,5641
CALLAHAN,Callahan,734,6012
CAMERON,Cameron,64063,49032
CAMP,Camp,1394,3626
CARSON,Carson,297,2779
CASS,Cass,2795,11033
CASTRO,Castro,466,1602
CHAMBERS,Chambers,3997,17353
CHEROKEE,Cherokee,4210,15101
CHILDRESS,Childress,310,1943
CLAY,Clay,614,5069
COCHRAN,Cochran,177,809
COKE,Coke,178,1586
COLEMAN,Coleman,451,3641
COLLIN,Collin,230945,252318
COLLINGSWORTH,Collingsworth,155,1048
COLORADO,Colorado,2420,7472
COMAL,Comal,24826,62740
COMANCHE,Comanche,853,5177
CONCHO,Concho,197,1058
COOKE,Cooke,3210,15596
CORYELL,Coryell,7565,15438
COTTLE,Cottle,113,540
CRANE,Crane,241,1247
CROCKETT,Crockett,344,1220
CROSBY,Crosby,527,1396
CULBERSON,Culberson,438,415
DALLAM,Dallam,197,1389
DALLAS,Dallas,598576,307076
DAWSON,Dawson,808,2951
DEAF SMITH,Deaf Smith,1264,3294
DELTA,Delta,403,2162
DENTON,Denton,188695,222480
DEWITT,Dewitt,1494,6567
DICKENS,Dickens,130,853
DIMMIT,Dimmit,2264,1384
DONLEY,Donley,198,1438
DUVAL,Duval,2575,2443
EASTLAND,Eastland,983,7237
ECTOR,Ector,11367,32697
EDWARDS,Edwards,168,893
EL PASO,El Paso,178126,84331
ELLIS,Ellis,27565,56717
ERATH,Erath,2916,13684
FALLS,Falls,1899,4177
FANNIN,Fannin,2655,12171
FAYETTE,Fayette,2661,10171
FISHER,Fisher,352,1448
FLOYD,Floyd,438,1584
FOARD,Foard,99,445
FORT BEND,Fort Bend,195552,157718
FRANKLIN,Franklin,804,4161
FREESTONE,Freestone,1635,6991
FRIO,Frio,2422,2823
GAINES,Gaines,576,5355
