1,2,3
101,4512,932
101,0,0
101,0,0
101,0,0
102,672,178
102,0,0
102,0,0
102,0,0
103,861,286
103,0,0
103,0,0
103,0,0
104,686,282
104,0,0
104,0,0
104,0,0
105,6764,2116
105,0,0
105,0,0
105,0,0
106,1699,1308
106,0,0
106,0,0
106,0,0
107,155,188
107,0,0
107,0,0
107,0,0
108,1007,226
108,0,0
108,0,0
108,0,0
109,1481,503
109,0,0
109,0,0
109,0,0
110,4280,1864
110,0,0
110,0,0
110,0,0
111,2771,907
111,0,0
111,0,0
111,0,0
112,1138,346
112,0,0
112,0,0
112,0,0
113,4827,1742
113,0,0
113,0,0
113,0,0
114,130,69
114,0,0
114,0,0
114,0,0
115,0,0
115,0,0
115,0,0
115,0,0
116,0,0
116,0,0
116,0,0
116,0,0
117,2225,292
117,0,0
117,0,0
117,0,0
118,377,47
118,0,0
118,0,0
118,0,0
119,0,0
119,0,0
119,0,0
119,0,0
120,200,57
120,0,0
120,0,0
120,0,0
121,822,120
121,0,0
121,0,0
121,0,0
122,2095,162
122,0,0
122,0,0
122,0,0
123,4695,2361
123,0,0
123,0,0
123,0,0
124,3724,399
124,0,0
124,0,0
124,0,0
125,1,1
125,0,0
125,0,0
125,0,0
126,4129,321
126,0,0
126,0,0
126,0,0
127,0,0
127,0,0
127,0,0
127,0,0
128,0,0
128,0,0
128,0,0
128,0,0
129,2121,176
129,0,0
129,0,0
129,0,0
130,1484,162
130,0,0
130,0,0
130,0,0
131,1,0
131,0,0
131,0,0
131,0,0
132,2064,201
132,0,0
132,0,0
132,0,0
133,1726,203
133,0,0
133,0,0
133,0,0
134,0,0
134,0,0
134,0,0
134,0,0
135,6164,737
135,0,0
135,0,0
135,0,0
136,1473,929
136,0,0
136,0,0
136,0,0
137,6211,3799
137,0,0
137,0,0
137,0,0
138,0,0
138,0,0
138,0,0
138,0,0
139,2006,436
139,0,0
139,0,0
139,0,0
140,1191,244
140,0,0
140,0,0
140,0,0
141,347,58
141,0,0
141,0,0
141,0,0
142,891,88
142,0,0
142,0,0
